car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
5IQTDBTYmvK1tJwhdvGJfESJ,Lexus ES 350 FWD 2013 Red,12937500,"Lagos State, Ikeja",Lexus,ES,2013,Red,Foreign Used,272474.0,3500.0,Imported,Imported,350 FWD,Front Wheel,unknown,5,6.0,268.0,Sedan,Petrol,Automatic
zpZUGomoVXuKk9UFa8j8moC9,Land Rover Range Rover 2012 White,6750000,"Abuja (FCT), Garki 2",Land Rover,Range Rover,2012,White,Nigerian Used,102281.0,5000.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
a6ShZXOX4KtY6IBGJIcF3Cxk,Toyota Sequoia 2018 Black,50625000,"Lagos State, Lekki",Toyota,Sequoia,2018,Black,Foreign Used,127390.0,5700.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
CciPNDN6vhhQQI1FTQHAbfxi,Toyota Corolla 2007 Green,3600000,"Abuja (FCT), Lugbe District",Toyota,Corolla,2007,Green,Nigerian Used,139680.0,1800.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
bvwd5LDMx6mIYpVa6Uhi2jqJ,Mercedes-Benz M Class 2005 Silver,3262500,"Lagos State, Isolo",Mercedes-Benz,M Class,2005,Silver,Nigerian Used,220615.0,3500.0,Registered,Imported,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
rR9jyMmvS5QYArvQplOQRVid,Lexus ES 2007 Blue,4837500,"Abuja (FCT), Gwarinpa",Lexus,ES,2007,Blue,Nigerian Used,347614.0,3500.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
hy7yBdW3a3EbwkZU7WGHqUPr,Lexus ES 350 2008 White,4162500,"Abuja (FCT), Kubwa",Lexus,ES,2008,White,Nigerian Used,126841.0,3500.0,Registered,Registered,350,Front,ABUJA,5,6.0,0.0,Sedan,Petrol,Automatic
x2Uz0Pm5w43ConBBsmAOQPOV,Ford Escape XLS 4x4 2005 Ivory,1721250,"Lagos State, Ikeja",Ford,Escape,2005,Ivory,Nigerian Used,246930.0,3000.0,Registered,Imported,XLS 4x4,All Wheel,LAGOS,5,4.0,156.0,SUV,Petrol,Automatic
n8PHuxWTdbg0HvvedjTf5CJZ,Acura MDX 2011 Blue,4590000,"Lagos State, Ikotun/Igando",Acura,MDX,2011,Blue,Nigerian Used,122734.0,3700.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,SUV,Petrol,Automatic
xEGLEYM0Nt5xNQJatGMewIVr,Toyota Highlander 2015 Teal,18000000,"Lagos State, Lekki",Toyota,Highlander,2015,Teal,Nigerian Used,130078.0,3500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
C84Q2hN2YYWK4w3efHDl3ye6,Toyota Corolla 2010 Blue,4500000,"Lagos State, Ikoyi",Toyota,Corolla,2010,Blue,Nigerian Used,74424.0,1800.0,Registered,Brand new,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
1stYRXx6y2mQsEOWbHmOArcd,Toyota Corolla 2004 Blue,3600000,"Abuja (FCT), Mararaba",Toyota,Corolla,2004,Blue,Nigerian Used,175337.0,1800.0,Registered,Registered,unknown,unknown,Abuja,0,0.0,0.0,unknown,Petrol,Automatic
fp4C6S86mDmiJOL1xDAgOB44,Lexus IS 250 AWD 2006 Black,2812500,"Lagos State, Lekki",Lexus,IS,2006,Black,Nigerian Used,259663.0,3500.0,Registered,Imported,250 AWD,All Wheel,ABUJA,5,6.0,208.0,Sedan,Petrol,Automatic
z5jxNPzDkJuMDiWimRVxb99L,Toyota Avalon 2013 Black,7875000,"Abuja (FCT), Jabi",Toyota,Avalon,2013,Black,Nigerian Used,124233.0,3500.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
kmNj5VyxYaoxl7YbAvM3Bych,Toyota Camry 2001 Gray,2137500,"Lagos State, Ojodu",Toyota,Camry,2001,Gray,Nigerian Used,155469.0,2200.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
aofdrJ1wmX0QL4gQ2KKVRGwp,Land Rover Range Rover 2008 White,4303125,"Lagos State, Ajah",Land Rover,Range Rover,2008,White,Nigerian Used,144381.0,4400.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
mPa4MnSwhQp4wzOAB8SFudOg,Toyota Corolla 2014 Silver,6187500,"Oyo State, Ibadan",Toyota,Corolla,2014,Silver,Nigerian Used,101872.0,1800.0,Registered,Registered,unknown,unknown,Lagos State,0,0.0,0.0,unknown,Petrol,Automatic
Bok4bZ3DUH2NppYYGMHDkQe0,Lexus GS 2008 Gray,2953125,"Lagos State, Lekki",Lexus,GS,2008,Gray,Nigerian Used,98229.0,3500.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
kLIpsBxMp7ExegbbzB29OHVN,Honda Accord 2010 Black,2025000,"Abuja (FCT), Lugbe District",Honda,Accord,2010,Black,Nigerian Used,82091.0,3300.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
BXSpWEnzV3t9SEkPDLX14Qq6,Honda Pilot 2008 White,3150000,"Kwara State, Ilorin East",Honda,Pilot,2008,White,Nigerian Used,142806.0,3500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
iUyhLAvmvgbqQQZzCC261pPR,Toyota Corolla 2009 White,2812500,"Lagos State, Amuwo-Odofin",Toyota,Corolla,2009,White,Nigerian Used,291419.0,0.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
nhqZPJ6HvZfoeOT9u0mNppQV,Lexus GX 2003 Black,4050000,"Lagos State, Amuwo-Odofin",Lexus,GX,2003,Black,Nigerian Used,115676.0,4700.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
xCKl4TrUzfxyQZUzuxkkttGq,BMW 323i 2008 Gray,3937500,"Abuja (FCT), Jabi",BMW,323i,2008,Gray,Nigerian Used,143258.0,2500.0,Registered,Registered,unknown,unknown,KADUNA,0,0.0,0.0,unknown,Petrol,Automatic
pGdxpP788sdLQXZoNAQYRMlz,Toyota Corolla 2006 Gray,2925000,"Abuja (FCT), Jabi",Toyota,Corolla,2006,Gray,Nigerian Used,299999.0,1800.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
hyibVSePNRdEPBHpq17Ssnyi,Lexus RX 350 2012 Black,11250000,"Lagos State, Ojodu",Lexus,RX 350,2012,Black,Foreign Used,160198.0,3500.0,Imported,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
doklctAs5c90WmafsFgYkfre,Lexus GS 2006 Silver,3375000,"Lagos State, Alimosho",Lexus,GS,2006,Silver,Nigerian Used,61517.0,3000.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
mCqsgtdzbm1HesNIpQm9iI7J,Toyota Corolla 2004 Silver,2812500,"Abuja (FCT), Jabi",Toyota,Corolla,2004,Silver,Nigerian Used,126158.0,1800.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
kEb3OtWV7u2bTXpfW7D21pkt,Kia Sorento 2011 Gray,4500000,"Rivers State, Port-Harcourt",Kia,Sorento,2011,Gray,Nigerian Used,133102.0,3500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,SUV,Petrol,Automatic
3q8SZAdk8ZST1zSzEYqPSABX,Volkswagen Golf 1999 Blue,843750,"Delta State, Oshimili South",Volkswagen,Golf,1999,Blue,Nigerian Used,171950.0,1600.0,Registered,Registered,unknown,unknown,ANAMBRA,0,0.0,0.0,unknown,Petrol,Automatic
xqpJyDZHGigalYWWclNBTc2X,Toyota Camry 2004 Gray,2925000,"Oyo State, Ibadan",Toyota,Camry,2004,Gray,Nigerian Used,412440.0,2400.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
rsZqHZVva6xZEpPjkDXgyvoS,Land Rover Range Rover Evoque Coupe Dynamic 2012 Black,8437500,"Rivers State, Port-Harcourt",Land Rover,Range Rover Evoque,2012,Black,Nigerian Used,75626.0,2000.0,Registered,Imported,Coupe Dynamic,unknown,unknown,0,0.0,0.0,Coupe,Petrol,AMT
1auTrHolJ2CMzONczsc9Rcbv,Toyota Corolla 2004 Gold,2250000,"Lagos State, Ikotun/Igando",Toyota,Corolla,2004,Gold,Nigerian Used,299999.0,1800.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
CoFu7yWkhHCIVMj9bYgOMl9l,Toyota Camry 2013 Gray,6412500,"Lagos State, Ipaja",Toyota,Camry,2013,Gray,Nigerian Used,119344.0,2500.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,unknown,Petrol,Automatic
knfAl9LnCE1Jc1jWtFOyok2s,Honda Accord 2009 Silver,2587500,"Lagos State, Alimosho",Honda,Accord,2009,Silver,Nigerian Used,215154.0,2400.0,Registered,Imported,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
r52kQH02OW3X2puGo3EMWILQ,Toyota Corolla 2003 Silver,1968750,"Lagos State, Ikorodu",Toyota,Corolla,2003,Silver,Nigerian Used,231251.0,2800.0,Registered,Registered,unknown,unknown,Lagos,0,0.0,0.0,unknown,Petrol,Automatic
Crci3qnqE3YWSxIBodT0Op8v,Toyota Camry 2004 Teal,2475000,"Lagos State, Lekki",Toyota,Camry,2004,Teal,Nigerian Used,189045.0,2400.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
aEwTZA6nC4y6fwtRwJPjpKCf,Acura MDX 2001 Gold,1687500,"Lagos State, Mushin",Acura,MDX,2001,Gold,Nigerian Used,367075.0,3500.0,Registered,Registered,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
yR3fyAoT6i3S3HS9S7ukReJc,Toyota Camry 2008 Silver,2651175,"Abuja (FCT), Katampe",Toyota,Camry,2008,Silver,Nigerian Used,153565.0,2400.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
43PvhLRx7YdNnhxIGbzmMe0X,Toyota Highlander Base AWD 2002 Red,3037500,"Akwa Ibom State, Uyo",Toyota,Highlander,2002,Red,Nigerian Used,244149.0,3300.0,Registered,Registered,Base AWD,All Wheel,ABIA,5,4.0,155.0,SUV,Petrol,Automatic
7AwjbX5q59g7oENyutGETzn5,Honda Accord 2003 Gray,1237500,"Abuja (FCT), Jabi",Honda,Accord,2003,Gray,Nigerian Used,121529.0,2400.0,Registered,Registered,unknown,unknown,Abuja,0,0.0,0.0,unknown,Petrol,Automatic
ByslsTMfVbRv1KJ4drLv5IM3,Lexus GX 2015 Black,33750000,"Lagos State, Ikoyi",Lexus,GX,2015,Black,Nigerian Used,62104.0,4600.0,Registered,Imported,unknown,unknown,LAGOS,0,0.0,0.0,SUV,Petrol,Automatic
hsWSpXq6KCvEtbtQBhv9G3zs,Lexus ES 2007 Beige,3937500,"Abuja (FCT), Gwarinpa",Lexus,ES,2007,Beige,Nigerian Used,134172.0,3500.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
5HTfRXlSfYFQBjhxHIoJuWTr,Honda Accord 2009 Silver,2385000,"Lagos State, Surulere",Honda,Accord,2009,Silver,Nigerian Used,390792.0,2400.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
wwfQ7AX1qRs5smNSF5f6gpvA,Toyota Camry 1998 Silver,1012500,"Abuja (FCT), Jabi",Toyota,Camry,1998,Silver,Nigerian Used,212122.0,2200.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
7Q8kF5kKNSPJEEWaaStYBk0S,Toyota Land Cruiser Prado 2.7 VVT-i 2015 Gray,15750000,"Lagos State, Lekki",Toyota,Land Cruiser Prado,2015,Gray,Nigerian Used,47395.0,2700.0,Registered,Imported,2.7 VVT-i,All Wheel,LAGOS,5,4.0,163.0,SUV,Petrol,Automatic
zhsL7a37tGYeTflkHjMrsTPh,Lexus IS 2008 Black,5400000,"Abuja (FCT), Jabi",Lexus,IS,2008,Black,Nigerian Used,104166.0,2500.0,Registered,Imported,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
zxdAn3OJgSIpIKoNak6fLB9b,Lexus ES 2007 Black,4303125,"Abuja (FCT), Katampe",Lexus,ES,2007,Black,Nigerian Used,160987.0,3500.0,Registered,Imported,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
r4CcY7dofjTttJQt7lvhPDCp,Honda Civic 2007 Gray,2250000,"Abuja (FCT), Lugbe District",Honda,Civic,2007,Gray,Nigerian Used,199805.0,1800.0,Registered,Registered,unknown,unknown,ABUJA,0,0.0,0.0,unknown,Petrol,Automatic
4Y0LCZjpkhlTdupAsdCYFOKY,Lexus IS 2008 Silver,3825000,"Lagos State, Ogba",Lexus,IS,2008,Silver,Nigerian Used,1313998.0,2500.0,Registered,Imported,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
d5uvNr5uGBVtJLByjMCffV7X,Honda Accord 2008 Black,2812500,"Abuja (FCT), Lugbe District",Honda,Accord,2008,Black,Nigerian Used,130260.0,2400.0,Registered,Registered,unknown,unknown,unknown,0,0.0,0.0,unknown,Petrol,Automatic
